YEAR,words
2002,"energy, selected, level, different, charge, turn, defibrillator, cause, may, switch"
2003,"may, fail, battery, due, voltage, power, patient, failure, board, potential"
2004,"may, failure, power, alarm, battery, component, due, potential, switch, fail"
2005,"may, device, alarm, short, pump, power, battery, fault, service, failure"
2006,"may, circuit, power, board, due, battery, supply, therapy, failure, device"
2007,"battery, power, may, failure, supply, time, charge, eri, device, electrical"
2008,"may, power, battery, fuse, loss, failure, device, operation, supply, pump"
2009,"power, may, battery, unit, result, alaris, supply, module, failure, circuit"
2010,"may, power, battery, device, potential, electrical, table, cause, failure, unit"
2011,"power, may, battery, system, ac, medical, failure, generator, cause, delivery"
2012,"may, monitor, power, fuse, battery, potential, unit, lead, component, circuit"
2013,"unit, may, power, battery, ventilator, pc, recalling, assembly, board, internal"
2014,"may, power, component, ventilator, failure, could, monitor, board, result, therapy"
2015,"power, failure, alarm, loss, system, battery, potential, remote, asp, complaint"
2016,"power, supply, unit, failure, board, battery, recalling, device, patient, potential"
2017,"battery, power, device, alarm, component, system, without, study, maquet, received"
2018,"battery, pl, malfunction, potential, may, emission, component, current, collector, deterioration"
