YEAR,words
2002,"software, error, range, characteristic, recognition, character, inconsistent, system, interfacing, address"
2003,"software, patient, result, may, incorrect, system, image, data, report, display"
2004,"software, may, result, patient, treatment, system, incorrect, cause, report, sample"
2005,"image, software, patient, result, may, one, anomaly, version, system, sample"
2006,"image, patient, software, result, system, may, data, incorrect, error, cause"
2007,"system, software, may, patient, incorrect, version, result, image, measurement, data"
2008,"software, patient, may, image, system, result, error, incorrect, file, display"
2009,"may, software, patient, result, issue, system, image, data, potential, error"
2010,"patient, result, may, system, image, software, issue, incorrect, bed, potential"
2011,"patient, software, may, system, result, image, dose, data, plan, issue"
2012,"patient, software, system, may, image, version, issue, result, dose, using"
2013,"issue, image, system, software, may, patient, result, potential, ge, healthcare"
2014,"software, patient, system, may, issue, image, potential, version, data, result"
2015,"system, may, software, patient, data, image, incorrect, result, issue, error"
2016,"software, patient, system, image, may, result, incorrect, issue, dose, data"
2017,"software, image, system, patient, result, may, sample, issue, study, error"
2018,"software, image, may, error, value, issue, result, system, data, patient"
