WEB_ADDRESS,RECALL_NUMBER,PRODUCT_DESCRIPTION,TRADE_NAME,RECALL_CLASS,CENTER,CENTER_CLASSIFICATION_DT,POSTED_INTERNET_DT,TERMINATION_DT,FIRM_NAME,MANUFACTURER_RECALL_REASON,YEAR,SC,HW,SW
http://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfres/res.cfm?id=25301,Z-0351-03,"Medtronic Cardioblate Radio Frequency Ablation Pen, model number 60811C47",Medtronic,2,CDRH,12/27/2002 10:39,,7/2/2004 19:25,Medtronic Cardiac Surgery Technologies,The radio frequency ablation pens contained unreacted epoxy resin which was observed to leak out of the back-end of the device.,2002,0.0,0.0,0.0
http://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfres/res.cfm?id=3093,Z-0396-03,Holdex tube holder     Item#450261,,2,CDRH,12/30/2002,,1/1/1990,"Greiner Vacuette North America, Inc.",Holdex tube holder malfunction,2002,0.0,0.0,0.0
http://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfres/res.cfm?id=1752,Z-0382-03,Medtronic Model 550 Bio-Console Extracorporeal Blood Pumping   Console for the Bio-Console Extracorporeal Blood Pumping System,,2,CDRH,12/30/2002,,1/1/1990,MEDTRONIC PERFUSION SYSTEMS,Motor controller printed circuit boards with a capacitor installed in reverse can result in a shut down of the product pump.,2002,0.0,1.0,0.0
http://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfres/res.cfm?id=3111,Z-0365-03,"LC+, LCV+, and LCA Angiographic X-ray Systems, Models 2168678, 2168678-2, 2219151, 2219151-2, 2219151-3, 2124824, 2168678-3, 2219150, 2219150-2, 2219150-3, 2107015, 2115906, 2168677, 2219152,   2219152-2, 2219152-3, and 2219152-4.",,2,CDRH,12/27/2002,,7/2/2004 19:28,GENERAL ELECTRIC MEDICAL SYSTEMS,The motor gearshaft for the image intensifier may break allowing the image intensifier to slide down to its end stop.,2002,0.0,0.0,0.0
http://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfres/res.cfm?id=25011,Z-0324-03,Misys Laboratory versions 5.23 and 5.3 with Callback,Misys Laboratory,2,CDRH,12/4/2002 15:44,12/5/2002 0:30,12/1/2004 11:39,Sunquest Information Systems,"Software anomally - animal ranges, when desired on reports, are defaulting to human male ranges.",2002,0.0,0.0,1.0
http://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfres/res.cfm?id=25109,Z-316/318-3,"Drop Hooks for Xact (tm) Lo-Pro with Removeable Drop Seat, Xact Integrated, and Xact Individual with Integrated Drop Seat wheelchairs, model/item numbers 05D, 1D, and 15D. Packaged as set of four in a poly bag.",Xact,2,CDRH,12/4/2002 15:48,12/5/2002 0:30,12/10/2002 6:52,Action Products Incorporated,Wheelchair seat component is defective.,2002,0.0,0.0,0.0
http://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfres/res.cfm?id=25112,Z-0319-03,Misys Laboratory version 5.2 with Results Interface 14,,2,CDRH,12/4/2002 15:51,12/5/2002 0:30,12/1/2004 11:37,Sunquest Information Systems,Software coding error caused data formatting error.,2002,1.0,0.0,1.0
http://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfres/res.cfm?id=3023,Z-0334-03,"HomeChoice and HomeChoice PRO Automated Peritoneal Dialysis Systems; Manufactured for Baxter Healthcare Corporation, Deerfield, IL 60015 U.S.A., Made in U.S.A.; the following models are affected:  a) Z-334-3: Baxter HomeChoice Automated PD System, catalog 5C4471, 115 volt  b) Z-335-3: Baxter HomeChoice Automated PD System, catalog 5C4474, 220 volt  c) Z-336-3: Yume Automated PD System, catalog T5C4441, 100 volt  d) Z-337-3: Baxter HomeChoice PRO Automated PD System, catalog 5C8310, 115 volt  e) Z-338-3: Baxter HomeChoice PRO Automated PD System, catalog 5C8320, 220 volt  f) Z-339-3: Yume Plus Automated PD System, catalog T5C8300, 100 volt     HomeChoice, model 5C4471, and HomeChoice PRO, model 5C8310",HomeChoice & HomeChoice PRO,2,CDRH,12/17/2002,6/25/2015 21:04,7/16/2015,BAXTER HEALTHCARE CORP.,possible overfill,2002,0.0,0.0,0.0
http://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfres/res.cfm?id=25190,Z-0342-03,"Blue-Vis, CIBASOFT VISITINT, daily wear contact lens. Lot 1170119, Expiration 2007/10, BC 8.9, DIA 13.8, SPH -1.50, CIBA Vision, Corp, Duluth, GA 30097, Made in USA.","CIBAVision, CIBASOFT Visitint.",2,CDRH,12/17/2002 23:31,12/18/2002 0:30,4/28/2003 14:09,Ciba Vision Corporation,Lenses were labeled with the wrong prescription.,2002,0.0,0.0,0.0
http://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfres/res.cfm?id=3023,Z-0334-03,"HomeChoice and HomeChoice PRO Automated Peritoneal Dialysis Systems; Manufactured for Baxter Healthcare Corporation, Deerfield, IL 60015 U.S.A., Made in U.S.A.; the following models are affected:  a) Z-334-3: Baxter HomeChoice Automated PD System, catalog 5C4471, 115 volt  b) Z-335-3: Baxter HomeChoice Automated PD System, catalog 5C4474, 220 volt  c) Z-336-3: Yume Automated PD System, catalog T5C4441, 100 volt  d) Z-337-3: Baxter HomeChoice PRO Automated PD System, catalog 5C8310, 115 volt  e) Z-338-3: Baxter HomeChoice PRO Automated PD System, catalog 5C8320, 220 volt  f) Z-339-3: Yume Plus Automated PD System, catalog T5C8300, 100 volt     HomeChoice, model 5C4471, and HomeChoice PRO, model 5C8310",HomeChoice & HomeChoice PRO,2,CDRH,12/17/2002,6/25/2015 21:04,7/16/2015,BAXTER HEALTHCARE CORP.,possible overfillWEB_ADDRESS,2002,0.0,0.0,1.0
http://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfres/res.cfm?id=28552,Z-0051-04,"propper brand cal-mark(R),  Micro-Hematocrit Calibrated Capillary Tubes, CALIBRATED-HEPARINIZED, reorder no. 043021, 6 Vials, 100 Tubes per Vial, Length 75 mm., 0.55 mm. I.D., 1.40-1.75mm. O.D.     Calibrated 60mm from end for use in direct reading centrifuges. Fill to the 60mm mark with blood and seal opposite end by flame or with sealing compound.  If centrifuged on a direct reading centrifuge, read percent hematocrit directly from scale on the centrifuge.  Otherwise, read in normal manner as a percent ratio of packed cells with 60mm of sample as 100%.     Firm on label: propper manufacturing co., inc., long island city, n.y. 11101.",cal-mark(R),2,CDRH,10/23/2003 14:35,10/24/2003 0:30,10/23/2003 15:21,Propper Mfg Co Inc,Deviation in capillary tubes could cause a 10% increase in read out values which could make a slight anemic patient appear to have a normal reading.,2003,0.0,0.0,0.0
http://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfres/res.cfm?id=29066,Z-0052-04,Pulse Generator,St. Jude Medical,2,CDRH,10/23/2003 14:43,10/24/2003 0:30,3/26/2004 12:16,St Jude Medical,"Under certain circumstances, pacemaker has a potential to deliver a short coupled pacing interval of approx. 300 msec (200ppm). It is also possible that a patient may experience (up to max of 12) shorter than anticipated pacing intervals.",2003,0.0,1.0,0.0
http://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfres/res.cfm?id=29204,Z-0053-04,"e.cam Emission Imaging Computed Tomography Systems used for all common nuclear medicine procedures; Siemens Medical Systems, Inc., Nuclear Medicine Group, Hoffman Estates, IL 60195-5203",e.cam,2,CDRH,10/23/2003 14:48,10/24/2003 0:30,2/24/2005 12:30,"Siemens Medical Solutions USA, Inc.","The detector's radial brake may not be applied properly, allowing unintended motion which could result in injury to the patient or operator.",2003,0.0,0.0,0.0
http://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfres/res.cfm?id=29401,Z-0057-04,Clinitron At Home Air Fluidized Therapy Unit,Clinitron At Home Air Fluidized Therapy Unit,2,CDRH,10/23/2003 15:01,10/24/2003 0:30,10/27/2003 10:09,"Hill-Rom Manufacturing, Inc.",Power cord overheating,2003,0.0,1.0,0.0
http://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfres/res.cfm?id=29794,Z-0065-04,"CryoValve, Pulmonary Heart Valve",CryoValve,2,CDRH,10/23/2003 15:34,10/24/2003 0:30,5/6/2004 13:47,Cryolife Inc,Additional information  obtained from the Outside Tissue Procurement Organization indicated that the donor's attending physician stated that the patient had pneumonia and it possibly might have been a systemic infection.,2003,0.0,0.0,0.0
http://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfres/res.cfm?id=29343,Z-0047-04,"Brand name: Olympus ImageManager Software, Versions 6.0 through 6.4.1 (excluding version 6.3.8)    Common name: Medical image storage device.  Class I, 510 (k) exempt.  (NOTE: any ImageManager Software sold as a stand-alone system is not impacted by this software malfunction since no opportunity exists for any image cross-linking. It is a condition of the software malfunction that the observed image crosslink results from the collision of data files from two separate ImageManager computers.)",Olympus ImageManager Software,2,CDRH,10/10/2003 12:19,10/15/2003 0:34,3/22/2005 11:01,Olympus America Inc.,Software malfunction; potential for simultaneous cross-linking of exam images to another patient's file.,2003,1.0,0.0,1.0
http://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfres/res.cfm?id=29867,Z-0067-04,"Synchron CX4, CX5 and CX9 Pro Systems.",,2,CDRH,10/23/2003 15:39,10/24/2003 0:30,4/5/2004 18:47,Beckman Coulter Inc,Motor driver boards may contain wrong type of microchip which does not have obstruction detection feature.,2003,0.0,1.0,0.0
